=== LOG DLA 30 FLOWS ===

===== RUN 0 =====
FLOW 0 IP: 13 -> 9 -> 6 | ACCEPTED
FLOW 29 IP: 13 -> 9 -> 6 -> 2 | ACCEPTED
FLOW 29 CSPF: 13 -> 9 -> 6 -> 2 | ACCEPTED
FLOW 29 WEIGHTED: 13 -> 9 -> 6 -> 2 | ACCEPTED

===== RUN 1 =====
FLOW 0 IP: 2 -> 6 -> 9 | ACCEPTED
FLOW 0 CSPF: 2 -> 6 -> 9 | ACCEPTED
FLOW 0 WEIGHTED: 2 -> 6 -> 9 | ACCEPTED
FLOW 1 IP: 1 -> 6 -> 11 -> 7 | ACCEPTED
FLOW 1 CSPF: 1 -> 6 -> 11 -> 7 | ACCEPTED
FLOW 1 WEIGHTED: 1 -> 6 -> 11 -> 7 | ACCEPTED
FLOW 2 IP: 10 -> 6 | ACCEPTED
FLOW 2 CSPF: 10 -> 6 | ACCEPTED
FLOW 2 WEIGHTED: 10 -> 6 | ACCEPTED
FLOW 3 IP: 7 -> 8 -> 0 | ACCEPTED
FLOW 3 CSPF: 7 -> 8 -> 0 | ACCEPTED
FLOW 3 WEIGHTED: 7 -> 8 -> 0 | ACCEPTED
FLOW 4 IP: 9 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 4 CSPF: 9 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 4 WEIGHTED: 9 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 5 IP: 7 -> 4 | ACCEPTED
FLOW 5 CSPF: 7 -> 4 | ACCEPTED
FLOW 5 WEIGHTED: 7 -> 4 | ACCEPTED
FLOW 6 IP: 1 -> 6 -> 4 -> 14 | ACCEPTED
FLOW 6 CSPF: NONE | REJECTED
FLOW 6 WEIGHTED: NONE | REJECTED
FLOW 7 IP: 0 -> 10 | ACCEPTED
FLOW 7 CSPF: 0 -> 10 | ACCEPTED
FLOW 7 WEIGHTED: 0 -> 10 | ACCEPTED
FLOW 8 IP: 14 -> 4 -> 6 | ACCEPTED
FLOW 8 CSPF: 14 -> 4 -> 6 | ACCEPTED
FLOW 8 WEIGHTED: 14 -> 4 -> 6 | ACCEPTED
FLOW 9 IP: 11 -> 7 -> 8 -> 0 | ACCEPTED
FLOW 9 CSPF: 11 -> 7 -> 8 -> 0 | ACCEPTED
FLOW 9 WEIGHTED: 11 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 10 IP: 12 -> 11 -> 7 | ACCEPTED
FLOW 10 CSPF: 12 -> 11 -> 7 | ACCEPTED
FLOW 10 WEIGHTED: 12 -> 11 -> 7 | ACCEPTED
FLOW 11 IP: 3 -> 5 | ACCEPTED
FLOW 11 CSPF: 3 -> 5 | ACCEPTED
FLOW 11 WEIGHTED: 3 -> 5 | ACCEPTED
FLOW 12 IP: 3 -> 7 -> 11 -> 12 | ACCEPTED
FLOW 12 CSPF: 3 -> 7 -> 11 -> 12 | ACCEPTED
FLOW 12 WEIGHTED: 3 -> 7 -> 6 -> 12 | ACCEPTED
FLOW 13 IP: 4 -> 14 | ACCEPTED
FLOW 13 CSPF: 4 -> 14 | ACCEPTED
FLOW 13 WEIGHTED: 4 -> 14 | ACCEPTED
FLOW 14 IP: 13 -> 14 | ACCEPTED
FLOW 14 CSPF: 13 -> 14 | ACCEPTED
FLOW 14 WEIGHTED: 13 -> 14 | ACCEPTED
FLOW 15 IP: 10 -> 6 -> 1 | ACCEPTED
FLOW 15 CSPF: 10 -> 6 -> 1 | ACCEPTED
FLOW 15 WEIGHTED: 10 -> 6 -> 1 | ACCEPTED
FLOW 16 IP: 11 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 16 CSPF: 11 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 16 WEIGHTED: 11 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 17 IP: 11 -> 7 -> 5 | ACCEPTED
FLOW 17 CSPF: 11 -> 7 -> 5 | ACCEPTED
FLOW 17 WEIGHTED: 11 -> 7 -> 5 | ACCEPTED
FLOW 18 IP: 6 -> 8 | ACCEPTED
FLOW 18 CSPF: 6 -> 8 | ACCEPTED
FLOW 18 WEIGHTED: 6 -> 8 | ACCEPTED
FLOW 19 IP: 4 -> 6 -> 9 | ACCEPTED
FLOW 19 CSPF: 4 -> 6 -> 9 | ACCEPTED
FLOW 19 WEIGHTED: 4 -> 6 -> 9 | ACCEPTED
FLOW 20 IP: 8 -> 6 | ACCEPTED
FLOW 20 CSPF: 8 -> 6 | ACCEPTED
FLOW 20 WEIGHTED: 8 -> 6 | ACCEPTED
FLOW 21 IP: 0 -> 8 -> 7 | ACCEPTED
FLOW 21 CSPF: 0 -> 8 -> 7 | ACCEPTED
FLOW 21 WEIGHTED: 0 -> 7 | ACCEPTED
FLOW 22 IP: 12 -> 10 -> 6 | ACCEPTED
FLOW 22 CSPF: 12 -> 10 -> 6 | ACCEPTED
FLOW 22 WEIGHTED: 12 -> 10 -> 6 | ACCEPTED
FLOW 23 IP: 2 -> 0 -> 5 | ACCEPTED
FLOW 23 CSPF: 2 -> 0 -> 5 | ACCEPTED
FLOW 23 WEIGHTED: 2 -> 0 -> 5 | ACCEPTED
FLOW 24 IP: 11 -> 12 | ACCEPTED
FLOW 24 CSPF: 11 -> 12 | ACCEPTED
FLOW 24 WEIGHTED: 11 -> 12 | ACCEPTED
FLOW 25 IP: 7 -> 11 -> 6 -> 10 | ACCEPTED
FLOW 25 CSPF: 7 -> 11 -> 6 -> 10 | ACCEPTED
FLOW 25 WEIGHTED: 7 -> 10 | ACCEPTED
FLOW 26 IP: 12 -> 10 -> 6 -> 2 | ACCEPTED
FLOW 26 CSPF: 12 -> 10 -> 6 -> 2 | ACCEPTED
FLOW 26 WEIGHTED: 12 -> 10 -> 2 | ACCEPTED
FLOW 27 IP: 6 -> 8 -> 0 -> 5 | ACCEPTED
FLOW 27 CSPF: 6 -> 8 -> 0 -> 5 | ACCEPTED
FLOW 27 WEIGHTED: 6 -> 4 -> 5 | ACCEPTED
FLOW 28 IP: 0 -> 8 -> 7 | ACCEPTED
FLOW 28 CSPF: 0 -> 8 -> 7 | ACCEPTED
FLOW 28 WEIGHTED: 0 -> 8 -> 7 | ACCEPTED
FLOW 29 IP: 11 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 29 CSPF: 11 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 29 WEIGHTED: 11 -> 6 -> 9 -> 13 | ACCEPTED

===== RUN 2 =====
FLOW 0 IP: 13 -> 9 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 0 CSPF: 13 -> 9 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 0 WEIGHTED: 13 -> 9 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 1 IP: 5 -> 13 | ACCEPTED
FLOW 1 CSPF: 5 -> 13 | ACCEPTED
FLOW 1 WEIGHTED: 5 -> 13 | ACCEPTED
FLOW 2 IP: 12 -> 10 | ACCEPTED
FLOW 2 CSPF: 12 -> 10 | ACCEPTED
FLOW 2 WEIGHTED: 12 -> 10 | ACCEPTED
FLOW 3 IP: 9 -> 6 -> 11 -> 7 -> 3 | ACCEPTED
FLOW 3 CSPF: 9 -> 6 -> 11 -> 7 -> 3 | ACCEPTED
FLOW 3 WEIGHTED: 9 -> 6 -> 11 -> 7 -> 3 | ACCEPTED
FLOW 4 IP: 9 -> 6 -> 10 | ACCEPTED
FLOW 4 CSPF: 9 -> 6 -> 10 | ACCEPTED
FLOW 4 WEIGHTED: 9 -> 6 -> 10 | ACCEPTED
FLOW 5 IP: 10 -> 6 | ACCEPTED
FLOW 5 CSPF: 10 -> 6 | ACCEPTED
FLOW 5 WEIGHTED: 10 -> 6 | ACCEPTED
FLOW 6 IP: 5 -> 0 -> 8 | ACCEPTED
FLOW 6 CSPF: 5 -> 0 -> 8 | ACCEPTED
FLOW 6 WEIGHTED: 5 -> 0 -> 8 | ACCEPTED
FLOW 7 IP: 4 -> 14 | ACCEPTED
FLOW 7 CSPF: 4 -> 14 | ACCEPTED
FLOW 7 WEIGHTED: 4 -> 14 | ACCEPTED
FLOW 8 IP: 0 -> 5 | ACCEPTED
FLOW 8 CSPF: 0 -> 5 | ACCEPTED
FLOW 8 WEIGHTED: 0 -> 5 | ACCEPTED
FLOW 9 IP: 5 -> 4 -> 14 | ACCEPTED
FLOW 9 CSPF: 5 -> 4 -> 14 | ACCEPTED
FLOW 9 WEIGHTED: 5 -> 4 -> 14 | ACCEPTED
FLOW 10 IP: 14 -> 8 | ACCEPTED
FLOW 10 CSPF: 14 -> 8 | ACCEPTED
FLOW 10 WEIGHTED: 14 -> 8 | ACCEPTED
FLOW 11 IP: 2 -> 7 -> 3 | ACCEPTED
FLOW 11 CSPF: 2 -> 7 -> 3 | ACCEPTED
FLOW 11 WEIGHTED: 2 -> 7 -> 3 | ACCEPTED
FLOW 12 IP: 2 -> 0 -> 5 | ACCEPTED
FLOW 12 CSPF: 2 -> 0 -> 5 | ACCEPTED
FLOW 12 WEIGHTED: 2 -> 6 -> 4 -> 5 | ACCEPTED
FLOW 13 IP: 8 -> 0 -> 5 | ACCEPTED
FLOW 13 CSPF: 8 -> 0 -> 5 | ACCEPTED
FLOW 13 WEIGHTED: 8 -> 0 -> 5 | ACCEPTED
FLOW 14 IP: 8 -> 6 -> 2 | ACCEPTED
FLOW 14 CSPF: 8 -> 6 -> 2 | ACCEPTED
FLOW 14 WEIGHTED: 8 -> 6 -> 2 | ACCEPTED
FLOW 15 IP: 6 -> 11 | ACCEPTED
FLOW 15 CSPF: 6 -> 11 | ACCEPTED
FLOW 15 WEIGHTED: 6 -> 11 | ACCEPTED
FLOW 16 IP: 14 -> 4 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 16 CSPF: 14 -> 4 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 16 WEIGHTED: 14 -> 5 -> 12 | ACCEPTED
FLOW 17 IP: 9 -> 13 -> 5 | ACCEPTED
FLOW 17 CSPF: 9 -> 13 -> 5 | ACCEPTED
FLOW 17 WEIGHTED: 9 -> 13 -> 5 | ACCEPTED
FLOW 18 IP: 7 -> 2 | ACCEPTED
FLOW 18 CSPF: 7 -> 2 | ACCEPTED
FLOW 18 WEIGHTED: 7 -> 2 | ACCEPTED
FLOW 19 IP: 11 -> 7 | ACCEPTED
FLOW 19 CSPF: 11 -> 7 | ACCEPTED
FLOW 19 WEIGHTED: 11 -> 7 | ACCEPTED
FLOW 20 IP: 7 -> 4 | ACCEPTED
FLOW 20 CSPF: 7 -> 4 | ACCEPTED
FLOW 20 WEIGHTED: 7 -> 4 | ACCEPTED
FLOW 21 IP: 8 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 21 CSPF: 8 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 21 WEIGHTED: 8 -> 13 | ACCEPTED
FLOW 22 IP: 14 -> 8 -> 7 | ACCEPTED
FLOW 22 CSPF: 14 -> 8 -> 7 | ACCEPTED
FLOW 22 WEIGHTED: 14 -> 8 -> 7 | ACCEPTED
FLOW 23 IP: 9 -> 6 -> 11 | ACCEPTED
FLOW 23 CSPF: 9 -> 6 -> 11 | ACCEPTED
FLOW 23 WEIGHTED: 9 -> 6 -> 11 | ACCEPTED
FLOW 24 IP: 7 -> 11 -> 6 -> 10 | ACCEPTED
FLOW 24 CSPF: 7 -> 11 -> 6 -> 10 | ACCEPTED
FLOW 24 WEIGHTED: 7 -> 6 -> 10 | ACCEPTED
FLOW 25 IP: 5 -> 13 | ACCEPTED
FLOW 25 CSPF: 5 -> 13 | ACCEPTED
FLOW 25 WEIGHTED: 5 -> 13 | ACCEPTED
FLOW 26 IP: 14 -> 13 -> 9 | ACCEPTED
FLOW 26 CSPF: 14 -> 13 -> 9 | ACCEPTED
FLOW 26 WEIGHTED: 14 -> 13 -> 9 | ACCEPTED
FLOW 27 IP: 14 -> 8 -> 7 | ACCEPTED
FLOW 27 CSPF: 14 -> 8 -> 7 | ACCEPTED
FLOW 27 WEIGHTED: 14 -> 4 -> 6 -> 7 | ACCEPTED
FLOW 28 IP: 12 -> 11 | ACCEPTED
FLOW 28 CSPF: 12 -> 11 | ACCEPTED
FLOW 28 WEIGHTED: 12 -> 11 | ACCEPTED
FLOW 29 IP: 8 -> 6 -> 10 | ACCEPTED
FLOW 29 CSPF: 8 -> 6 -> 10 | ACCEPTED
FLOW 29 WEIGHTED: 8 -> 0 -> 10 | ACCEPTED

===== RUN 3 =====
FLOW 0 IP: 3 -> 7 -> 11 -> 6 -> 9 | ACCEPTED
FLOW 0 CSPF: 3 -> 7 -> 11 -> 6 -> 9 | ACCEPTED
FLOW 0 WEIGHTED: 3 -> 7 -> 11 -> 6 -> 9 | ACCEPTED
FLOW 1 IP: 5 -> 4 -> 14 | ACCEPTED
FLOW 1 CSPF: 5 -> 4 -> 14 | ACCEPTED
FLOW 1 WEIGHTED: 5 -> 4 -> 14 | ACCEPTED
FLOW 2 IP: 10 -> 6 -> 9 | ACCEPTED
FLOW 2 CSPF: 10 -> 6 -> 9 | ACCEPTED
FLOW 2 WEIGHTED: 10 -> 6 -> 9 | ACCEPTED
FLOW 3 IP: 0 -> 8 -> 14 | ACCEPTED
FLOW 3 CSPF: 0 -> 8 -> 14 | ACCEPTED
FLOW 3 WEIGHTED: 0 -> 8 -> 14 | ACCEPTED
FLOW 4 IP: 8 -> 7 -> 3 | ACCEPTED
FLOW 4 CSPF: 8 -> 7 -> 3 | ACCEPTED
FLOW 4 WEIGHTED: 8 -> 7 -> 3 | ACCEPTED
FLOW 5 IP: 7 -> 8 | ACCEPTED
FLOW 5 CSPF: 7 -> 8 | ACCEPTED
FLOW 5 WEIGHTED: 7 -> 8 | ACCEPTED
FLOW 6 IP: 6 -> 10 | ACCEPTED
FLOW 6 CSPF: 6 -> 10 | ACCEPTED
FLOW 6 WEIGHTED: 6 -> 10 | ACCEPTED
FLOW 7 IP: 10 -> 6 -> 2 | ACCEPTED
FLOW 7 CSPF: 10 -> 6 -> 2 | ACCEPTED
FLOW 7 WEIGHTED: 10 -> 2 | ACCEPTED
FLOW 8 IP: 11 -> 7 -> 8 -> 0 | ACCEPTED
FLOW 8 CSPF: 11 -> 7 -> 8 -> 0 | ACCEPTED
FLOW 8 WEIGHTED: 11 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 9 IP: 12 -> 10 -> 6 -> 9 | ACCEPTED
FLOW 9 CSPF: 12 -> 10 -> 6 -> 9 | ACCEPTED
FLOW 9 WEIGHTED: 12 -> 10 -> 6 -> 9 | ACCEPTED
FLOW 10 IP: 12 -> 10 -> 0 | ACCEPTED
FLOW 10 CSPF: 12 -> 10 -> 0 | ACCEPTED
FLOW 10 WEIGHTED: 12 -> 10 -> 0 | ACCEPTED
FLOW 11 IP: 9 -> 6 -> 11 | ACCEPTED
FLOW 11 CSPF: 9 -> 6 -> 11 | ACCEPTED
FLOW 11 WEIGHTED: 9 -> 6 -> 11 | ACCEPTED
FLOW 12 IP: 12 -> 10 -> 6 -> 4 -> 14 | ACCEPTED
FLOW 12 CSPF: 12 -> 10 -> 6 -> 4 -> 14 | ACCEPTED
FLOW 12 WEIGHTED: 12 -> 5 -> 14 | ACCEPTED
FLOW 13 IP: 11 -> 12 | ACCEPTED
FLOW 13 CSPF: 11 -> 12 | ACCEPTED
FLOW 13 WEIGHTED: 11 -> 12 | ACCEPTED
FLOW 14 IP: 14 -> 4 -> 6 -> 2 | ACCEPTED
FLOW 14 CSPF: 14 -> 4 -> 6 -> 2 | ACCEPTED
FLOW 14 WEIGHTED: 14 -> 4 -> 6 -> 2 | ACCEPTED
FLOW 15 IP: 0 -> 2 | ACCEPTED
FLOW 15 CSPF: 0 -> 2 | ACCEPTED
FLOW 15 WEIGHTED: 0 -> 2 | ACCEPTED
FLOW 16 IP: 4 -> 6 -> 10 | ACCEPTED
FLOW 16 CSPF: 4 -> 6 -> 10 | ACCEPTED
FLOW 16 WEIGHTED: 4 -> 10 | ACCEPTED
FLOW 17 IP: 10 -> 13 | ACCEPTED
FLOW 17 CSPF: 10 -> 13 | ACCEPTED
FLOW 17 WEIGHTED: 10 -> 13 | ACCEPTED
FLOW 18 IP: 8 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 18 CSPF: 8 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 18 WEIGHTED: 8 -> 13 | ACCEPTED
FLOW 19 IP: 5 -> 0 -> 8 | ACCEPTED
FLOW 19 CSPF: 5 -> 0 -> 8 | ACCEPTED
FLOW 19 WEIGHTED: 5 -> 0 -> 8 | ACCEPTED
FLOW 20 IP: 9 -> 6 -> 11 -> 7 -> 3 | ACCEPTED
FLOW 20 CSPF: 9 -> 6 -> 11 -> 7 -> 3 | ACCEPTED
FLOW 20 WEIGHTED: 9 -> 6 -> 7 -> 3 | ACCEPTED
FLOW 21 IP: 14 -> 8 -> 0 | ACCEPTED
FLOW 21 CSPF: 14 -> 8 -> 0 | ACCEPTED
FLOW 21 WEIGHTED: 14 -> 8 -> 0 | ACCEPTED
FLOW 22 IP: 10 -> 6 -> 11 | ACCEPTED
FLOW 22 CSPF: 10 -> 6 -> 11 | ACCEPTED
FLOW 22 WEIGHTED: 10 -> 6 -> 11 | ACCEPTED
FLOW 23 IP: 13 -> 5 | ACCEPTED
FLOW 23 CSPF: 13 -> 5 | ACCEPTED
FLOW 23 WEIGHTED: 13 -> 5 | ACCEPTED
FLOW 24 IP: 9 -> 6 -> 1 | ACCEPTED
FLOW 24 CSPF: 9 -> 6 -> 1 | ACCEPTED
FLOW 24 WEIGHTED: 9 -> 6 -> 1 | ACCEPTED
FLOW 25 IP: 13 -> 9 | ACCEPTED
FLOW 25 CSPF: 13 -> 9 | ACCEPTED
FLOW 25 WEIGHTED: 13 -> 9 | ACCEPTED
FLOW 26 IP: 1 -> 6 -> 11 -> 7 | ACCEPTED
FLOW 26 CSPF: 1 -> 6 -> 11 -> 7 | ACCEPTED
FLOW 26 WEIGHTED: 1 -> 6 -> 7 | ACCEPTED
FLOW 27 IP: 5 -> 12 | ACCEPTED
FLOW 27 CSPF: 5 -> 12 | ACCEPTED
FLOW 27 WEIGHTED: 5 -> 12 | ACCEPTED
FLOW 28 IP: 14 -> 4 -> 6 -> 2 | ACCEPTED
FLOW 28 CSPF: 14 -> 4 -> 6 -> 2 | ACCEPTED
FLOW 28 WEIGHTED: 14 -> 13 -> 9 -> 6 -> 2 | ACCEPTED
FLOW 29 IP: 6 -> 10 -> 12 | ACCEPTED
FLOW 29 CSPF: 6 -> 10 -> 12 | ACCEPTED
FLOW 29 WEIGHTED: 6 -> 12 | ACCEPTED

===== RUN 4 =====
FLOW 0 IP: 3 -> 5 -> 4 | ACCEPTED
FLOW 0 CSPF: 3 -> 5 -> 4 | ACCEPTED
FLOW 0 WEIGHTED: 3 -> 5 -> 4 | ACCEPTED
FLOW 1 IP: 6 -> 11 -> 7 | ACCEPTED
FLOW 1 CSPF: 6 -> 11 -> 7 | ACCEPTED
FLOW 1 WEIGHTED: 6 -> 11 -> 7 | ACCEPTED
FLOW 2 IP: 1 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 2 CSPF: 1 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 2 WEIGHTED: 1 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 3 IP: 14 -> 4 | ACCEPTED
FLOW 3 CSPF: 14 -> 4 | ACCEPTED
FLOW 3 WEIGHTED: 14 -> 4 | ACCEPTED
FLOW 4 IP: 8 -> 0 -> 5 | ACCEPTED
FLOW 4 CSPF: 8 -> 0 -> 5 | ACCEPTED
FLOW 4 WEIGHTED: 8 -> 0 -> 5 | ACCEPTED
FLOW 5 IP: 2 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 5 CSPF: 2 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 5 WEIGHTED: 2 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 6 IP: 3 -> 7 -> 8 -> 14 | ACCEPTED
FLOW 6 CSPF: 3 -> 7 -> 8 -> 14 | ACCEPTED
FLOW 6 WEIGHTED: 3 -> 7 -> 8 -> 14 | ACCEPTED
FLOW 7 IP: 10 -> 12 | ACCEPTED
FLOW 7 CSPF: 10 -> 12 | ACCEPTED
FLOW 7 WEIGHTED: 10 -> 12 | ACCEPTED
FLOW 8 IP: 4 -> 5 -> 3 | ACCEPTED
FLOW 8 CSPF: 4 -> 5 -> 3 | ACCEPTED
FLOW 8 WEIGHTED: 4 -> 7 -> 3 | ACCEPTED
FLOW 9 IP: 4 -> 6 -> 10 | ACCEPTED
FLOW 9 CSPF: 4 -> 6 -> 10 | ACCEPTED
FLOW 9 WEIGHTED: 4 -> 6 -> 10 | ACCEPTED
FLOW 10 IP: 13 -> 9 | ACCEPTED
FLOW 10 CSPF: 13 -> 9 | ACCEPTED
FLOW 10 WEIGHTED: 13 -> 9 | ACCEPTED
FLOW 11 IP: 6 -> 8 | ACCEPTED
FLOW 11 CSPF: 6 -> 8 | ACCEPTED
FLOW 11 WEIGHTED: 6 -> 8 | ACCEPTED
FLOW 12 IP: 3 -> 7 | ACCEPTED
FLOW 12 CSPF: 3 -> 7 | ACCEPTED
FLOW 12 WEIGHTED: 3 -> 7 | ACCEPTED
FLOW 13 IP: 14 -> 13 | ACCEPTED
FLOW 13 CSPF: 14 -> 13 | ACCEPTED
FLOW 13 WEIGHTED: 14 -> 13 | ACCEPTED
FLOW 14 IP: 4 -> 5 -> 0 | ACCEPTED
FLOW 14 CSPF: 4 -> 5 -> 0 | ACCEPTED
FLOW 14 WEIGHTED: 4 -> 5 -> 0 | ACCEPTED
FLOW 15 IP: 11 -> 6 -> 4 -> 14 | ACCEPTED
